nr,pre,match-2,match-1,match,match+1,match+2,post,master_category,notes,Givenness,Factuality,Type,Focus,id,title,n_words,n_tokens,n_w,n_c,n_s,publication_date,text_type,context,respondent_age,respondent_class,respondent_sex,interaction_type,region,author_age,author_domicile,author_sex,author_type,audience_age,domain,difficulty,medium,publication_place,sampling_type,circulation,audience_sex,availability,mode,derived_type,genre,cat_annotator1,cat_annotator2,decision
623,  they've got a nice man on a bench there. I suggested putting an old lady sitting on a bench with a lace shawl erm er sculpture of so that it represents er Nottingham lace and etcetera and I said it would look more attractive and catch people's eye than what's there at the ,present. ,So ,it ,was ,it ,was the lace that you wanted emphasizing rather than a  Yes  little old lady on a bench? That's it. Oh I see Mary is that any better. Er no. Oh no okay. No certainly not it's not I mean a little old lady yes the lace has something to do with Nottingham Nottingham's ,c,EMPTY,act.giv,un,canonical,NP,HMA,BBC Radio Nottingham: radio broadcast. Sample containing about 15752 words speech recorded in leisure context,16298,17384,16467,858,898,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,c,c
630," ght be a little bit more  than it is from the provincial firms that perhaps are used to having closer relationships with their clients. And before beauty parades, presumably a lot of these clients you wouldn't even get to meet would you? Erm no it'd be very difficult to get an opportunity to ",do ,so. ,It ,was ,through ,"holding a beauty parade that I C I discovered the benefits of using a regional firm. The company decided to put all it's litigation work, worth over a million pounds a year, out to tender. It started with a list of city firms, but it soon realized there were other options. There were only three ",c,EMPTY,part.giv,fact,canonical,adv,HMJ,The Money Programme - part 2: documentary. Sample containing about 1876 words speech recorded in leisure context,1908,2096,1929,146,101,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:documentary,c,e,e
631, r ever getting flooded out  and there we  we'd all clean our shoes before going to bed at night put 'em all underneath the sideboard or whatever. And in the morning there was nothing to see they were floating about you know with the floods. They used to come without any  warning whatsoever. ,I ,think ,it ,was ,the ,"sewerage that was in bad state. The sewers. But it was nothing new to   to get flooded out all the time there. There was only a tiny little row in between two streets, there was about  six houses I think it was. Very very small. Tiny little things. Were you aware at the time that it ",c,"(While the information doesn't come as a surprise, it's still new. The sewerage hadn't been mentioned previously, nor its condition. The it has a referential flavour here, but all in all cleft properties seem to be in place.)",new,fact,IP,NP,HML,Gwynedd County Council tape 16: interview for oral history project. Sample containing about 8912 words speech recorded in leisure context,9121,10001,9207,732,626,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
633,"  you go up town and get me this you see now she meant that sh sh you know  no  mampy pampying now, off you go  yo you this is going to happen to you for a long time to come. And erm anyway er it all passed over just like that and came natural afterwards you ",know. ,And ,it ,was ,girls ,"in school then that s s you know when you started talking about, Ooh what happened to me on the beach and that. Oh didn't you know, I could've told you that you know then  we got to know all the all the things when it was too late but as regards my mother ",c,"(Relative clause seems to be unfinished, or at least not realized in a syntactically standard way. The idea is that it's girls at school that told other girls about their periods, not their mothers. The topic was already introduced. The fuzziness & fragmentary nature of the utterances is doubtlessly related to the taboo nature of the topic.)",part.giv,fact,canonical,stranded_NP,HML,Gwynedd County Council tape 16: interview for oral history project. Sample containing about 8912 words speech recorded in leisure context,9121,10001,9207,732,626,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,u,u
634,"  pictures perhaps. When us kids were growing up now so  Well there was myself and my oth younger sister ne the one next to me. Mary she died. It was us two I think what took the brunt of looking after the  the younger ones because as I said, my older sister she left  Bangor quite ",young. ,So  ,it ,was ,m ,"myself and my sister Mary really that took care of the rest of them. But then it came natural we didn't take any notice of it, we thought it was what was expected of us you know. Er then my mam said er when when a couple or two or three of us were at ",c,"(While this may not be actually true, it is a fact as far as the speaker is concerned, and the addressee is not going to contest it.)",act.giv,fact,canonical,NP,HML,Gwynedd County Council tape 16: interview for oral history project. Sample containing about 8912 words speech recorded in leisure context,9121,10001,9207,732,626,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
636,"  a lots of times with us. They were on that gate with us very often, in the mornings and that. And er the M. P. on this  he was up there with us, he was hundred percent too with us. Oh yes, we had fantastic support out of them  aye fantastic. Everybody was p hundred percent, ",everybody. ,But ,it ,was ,the ,"scabs er that well they put us down to start with, and then the was picket line started cracking up  was the these lads not prepared to do it. That how it went out of hand in the end in it. And everybody was getting a bit bored with it cos as it dragged on this ",c,"(A 'scab' is someone who breaks a strike. Their uncompanionlike behavior, and how it made things worse, had already been introduced. ",part.giv,un,canonical,NP,HMM,Gwynedd County Council tape 19: interview for oral history project. Sample containing about 7138 words speech recorded in leisure context,7333,8172,7386,737,382,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
637,  that that doesn't seem anything untoward does it? Well he's probably just caught him on the back of on the back of the calf but er I thought it was as you say I thought it was a nice sharp incisive tackle. Another second Forest player seemed to go in then I don't ,know ,whether ,it ,was ,him ,that caught Speedy rather than Cooper with the initial challenge. Anyway David Speedy Yeah  was in a little tumble job there but I I honestly don't think he if he caught him it was quite accidental. Yeah I'm sure you're right. And I was just thinking then that er Frank Clarke will want ,c,EMPTY,inact.giv,fact,canonical,NP,HMN,The Central Match - Live: television sports broadcast. Sample containing about 18641 words speech recorded in leisure context,19311,20744,19478,1197,1161,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:sportslive,c,c,c
646," 't have got those nice bright colours. Er  bit of a problem with the contrast too, I think the fact that the boat is white on the inside  and the rest of it er fairly dark, I mean   this, this is obviously where  the brightest area is and that is becoming a bit burned out because ",erm  ,if ,it ,was ,an ,automatic camera that was used  it's exposed for this  consequently over-exposing on the inside of the boat.   Especially painted white and it is reflecting an awful lot of light. A seven for that one. In Pastures Green. Mm. Couple of very nice  horses.   It's er  good composition having the two separated like that. ,c,EMPTY,inact.giv,fact,other,NP,HM2,Camera club meeting. Sample containing about 13541 words speech recorded in leisure context,13977,16165,14177,1902,921,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:speech:unscripted,c,c,c
707," ttle while longer and then as soon as the ball really started rolling, er personally I thought well you can't back down now,. How how many others do you think had the same reaction t t to you? Erm certainly I think all of our quarry, the  quarry, I think we were overwhelmed with the ",support ,because ,it ,was ,really ,"in our place that the dispute started and a lot of other people who I'd spoken to you know they they were amazed at the support we received and, seemed to be the shyer the people you know the, some of the lads they never spoke much at lodge meetings, but after a while they'",c,EMPTY,act.giv,un,ambiguous,adv,HUY,Gwynedd County Council tape 20: interview for oral history project. Sample containing about 8549 words speech recorded in leisure context,8692,9677,8810,760,314,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
783,  know the words to Don't Be Cruel. Come here a minute Karen. Come here you said you do come here she's a bit of a singer is Karen. I know yes I know she is . Anything to get er to be a star . I've heard her at Christmas time. How come? Well she ,I ,think ,it ,was ,Karen ,"that did something for Children in Need last year and she sang on the air. Children in Need, people in greed. No. Come here. James you were once a child. I was never a child I was born bald. Ooh  gawd heaven help us . Hound dog Don't hound dog. Hound dog. Go go on one ",c,"(Lack of factuatlity is encoded by the hedge 'I think', not by the cleft; The hedge might be taken to undo the 'IP' function a little.)",new,fact,IP,NP,HV0,James Whale Phone-in: radio broadcast. Sample containing about 16755 words speech recorded in leisure context,17546,19395,17696,1575,1601,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,,,
784, . Don't have to talk about an just a good chat you know just  I don't want to I don't want to talk about good people or all about that I don't want to talk about that I want to talk I want to talk to that person out there who will feel ,now ,that ,it ,is ,them ,that I am I am appealing to I am appealing I now. It is them that I am appealing to  somebody because of the erm the the th thought transference that I am using is feeling now compelled to pick up the phone O nine O four six four one six four one. Yeah right . That',c,"(While the speaker can't guarantee that people will have this feeling, if they have it, it is a fact, not an opinion. So, for linguistic analysis, this probably is to be seen as a factual cleft.)",act.giv,fact,canonical,stranded_NP,HV0,James Whale Phone-in: radio broadcast. Sample containing about 16755 words speech recorded in leisure context,17546,19395,17696,1575,1601,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,,,
785,  don't want to I don't want to talk about good people or all about that I don't want to talk about that I want to talk I want to talk to that person out there who will feel now that it is them that I am I am appealing to I am appealing ,I ,now. ,It ,is ,them ,that I am appealing to  somebody because of the erm the the th thought transference that I am using is feeling now compelled to pick up the phone O nine O four six four one six four one. Yeah right . That's it yes ah I'm connected with you  I am on a cerebral plane ,c,(Similar to the previous one: it is a fact that the speaker's intention is to appeal to those people - regardless whether he/she is successful in doing so or not.),act.giv,fact,canonical,stranded_NP,HV0,James Whale Phone-in: radio broadcast. Sample containing about 16755 words speech recorded in leisure context,17546,19395,17696,1575,1601,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,,,
793,  then and get a dinghy or something and row across to Wyre. Did you start doing a passenger service when you got the mail contract or did you to the mail just on its own first or did you   No we did we did passengers before the mails. We used to run direct to Kirkwall via  ,and ,erm ,it ,was ,then ,that the post office caught hold of us and wanted us to take on the mails. So How did you work that was it er sort of round like Egilsay  or did you No no the first mail run we had was just merely from  to Rousay to collect the Rousay  mails and dump them at ,c,EMPTY,part.giv,fact,IP,adv,HV6,Orkney Sound Archive tape OSA/RO/D: radio broadcast. Sample containing about 3833 words speech recorded in leisure context,3844,4191,3875,248,257,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
842,"  kids being sent away all the time to borstal and er for doing wrong things. And was the area itself er with the adults concerned, were the police often involved with them? No it, it wasn't so bad really. Er It was a bit rough, it wasn't It was rough but you know it, ",it ,w ,it ,was ,petty ,"things that we was in trouble for, not, nothing sin I mean we would never think of mugging anybody or vandalizing things for the sake of vandalizing. Er we, we'd tie two doors together which, and then knock on them both,and then run like hell . Er firework night now I  we would get bangers, ",c,EMPTY,inact.giv,nonfact,canonical,stranded_NP,H4B,Nottinghamshire Oral History Project: interview. Sample containing about 12641 words speech recorded in leisure context,12941,15171,13028,1917,885,1975-1984,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
846,"  then count the planes coming back. I often think I wish you know we could capture some of those again I think it would jolly well  I, I, I wish government could, could really sort of kn know what it was like. I don't think they'd be so anxious to  go to war if ",they ,did . ,It ,was ,the ,"young people th th that I think were hit the most. It was ver very hard on, on them. And er Can you remember any particular incidents that happened during the war? Erm no, well we were very lucky in , we didn't have an awful lot of air raids, we had it over the lace ",c,"(It has already been mentioned that 'it was very difficult … for young couples', so not really a new statement, rather specification of an old one.)",part.giv,nonfact,canonical,NP,H4C,Nottinghamshire Oral History Project: interview. Sample containing about 16537 words speech recorded in leisure context,16831,19233,17071,2105,1065,1975-1984,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
859," howed the five hundred and fifty foot liner Stuttgart burning fiercely, three other ships in the harbour were left burning and dock railway yards and workshops hit. That was directly . I was just checking here in from the book  by  and I was looking at the chapter here on  Roses Rivetus and ",er  ,and ,it ,was ,on ,the mission to Munster here that er   Third Combat Mission once a day for three days' running was to Munster it was this ill-fated mission that made the reputation as the bloody Hundredth and of course this is the one that he only came back from. They also see that on page hundred and ninety ,c,(but unfinished),part.giv,fact,IP,adv,H5J,Suffolk Sound Archive: recording a message. Sample containing about 2961 words speech recorded in leisure context,2931,3224,2973,181,64,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
860,"  the World War Two and of course I go back to when the crews were formed and we flew together training at  Pyo Texas and at er Dallasburgh, Tennessee and then from there went overseas, we went to er Scotville, Illinois and picked up new planes in  Petermover and it was, we went to  Stagen ",area. ,Now ,it ,was ,there ,"that we became separated, I developed a very bad  throat and could not fly, just before we were ready to leave for overseas as  in his crew and the other crews that were there went on whereas I got held back and of course the way I feel about it is that that week that I ",c,EMPTY,act.giv,fact,IP,adv,H5J,Suffolk Sound Archive: recording a message. Sample containing about 2961 words speech recorded in leisure context,2931,3224,2973,181,64,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
1385,"  were yet, and erm, it er  I, I I was so  it was still in the sixties, they call it the swinging sixties, I mean I didn't see anything swinging in the sixties at all, I didn't think it was swinging, but er and they don't like now the swinging sixties and I ",think ,really ,it ,was ,then ,"that er people did er branch out to new ideas. These Rotaflex ones that you spoke of, were they in the fifties or the early sixties? Early sixties Yes I see  Oh no in the, in the fifties we were on the erm, the glass bowl fittings, yes  On the glass bowl fittings  Yes , yes, do ",c,EMPTY,part.giv,nonfact,canonical,adv,J8G,Life in Harlow: interview by Harlow Study Centre. Sample containing about 11926 words speech recorded in leisure context,12155,13590,12299,1271,662,1975-1984,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,,,
1576," ifth or something weren't they? Yeah, last year. Aha. And they bought er players didn't they? They put, you know, started to buy a few  you know, like Dorego and things like that. Wallace  not a bad buy. Arsenal are playing terrible aren't they? Mm. Roecastle's started to play well again ",this ,Yeah. ,It ,was ,an ,"awful goal that United gave away weren't it? We I mean, it was only Palaster in, in that half. And where the hell the fullbacks were! In wonderland. Who was it who first said that they'd witnessed something? Yeah. What? Well you not, you liked the  but erm No I never. You did. No ",c,EMPTY,new,nonfact,ambiguous,NP,KBD,"24 conversations recorded by `Barry' (PS03W) between 1 and 6 February 1992 with 10 interlocutors, totalling 9021 s-units, 58087 words, and 5 hours 12 minutes 10 seconds of recordings.",61938,74308,62384,11258,9021,1985-1993,spoken_demographic,---,35-44,AB,male,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1578,  my husband to divorce it and chuck it You've had this what about two years now? It's got to be. Mm. She was saying four years four years and I said I've not had it four years  I should say about two years. Because you had the old white one when I came ,here. ,And ,it ,was ,just ,over four years ago that I came here. That's right. Four years and two months ago or a few months  but the gas man sort of found it dangerous. he got it taken out to the back garden isn't it? Didn't you have  or something? I can't remember whether  Dangerous wasn't ,c,EMPTY,act.giv,fact,canonical,adv,KBE,"27 conversations recorded by `Betty' (PS04B) between 28 November and ?? December 1991 with 9 interlocutors, totalling 10543 s-units, 62321 words, and over 5 hours 40 minutes 22 seconds of recordings.",66650,81123,67036,10791,10551,1985-1993,spoken_demographic,---,45-59,DE,female,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1598," , nobody is going to be able these days, a woman not going to be able to support herself on twenty hours a week, which is what Karen does, putting out bread in the Asda. Is she the original one then? She's the original one She's not the one that was coming round with the ",baby? ,"no, ",it ,was ,Michelle ,"that was coming round with the baby right and I found two pairs of Michelle's knickers after that, I didn't know what  , now I don't know how they manage this year  because, she was coming round in the day with little Donna with her and I was around, there you are, you see, ",c,EMPTY,act.giv,fact,canonical,NP,KBF,"103 conversations recorded by `Brenda' (PS04U) between 28 November and 4 December 1991 with 6 interlocutors, totalling 13578 s-units, 105262 words, and over 11 hours 59 minutes 46 seconds of recordings.",111946,131717,112772,16755,13583,1985-1993,spoken_demographic,---,25-34,C2,female,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1601,  I first went back he told me  on Saturday. You know I had that crappy start time? Mm. Apparently they tried to phone me on Friday afternoon but I was out swimming. To see if I could do an early . Oh. So that's why . And I said to him I'm sorry I was swimming. ,I ,said ,it ,was ,in ,the book that I was available  And he was alright then? Yeah. Like you say you've got to watch them cos they'll stab you in the back won't they? isn't he? Where's he ? In the warehouse. The warehouse . Really? Why's that then? Because he didn't get that promotion? Well  ,c,EMPTY,new,fact,IP,adv,KBF,"103 conversations recorded by `Brenda' (PS04U) between 28 November and 4 December 1991 with 6 interlocutors, totalling 13578 s-units, 105262 words, and over 11 hours 59 minutes 46 seconds of recordings.",111946,131717,112772,16755,13583,1985-1993,spoken_demographic,---,25-34,C2,female,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1618," his, a baby, a four day old baby girl died after receiving the transfusion of over heated blood, which the nurse had warmed boiling water from a kettle. Good grief. Where was that? Exeter. Don't get ill in Exeter. There's a comment on the  saying that, these days in cases of separation ",and ,"divorce, ",it ,is ,only ,"the right child which is considered. An unmarried couple Mm mm. who wanted to live together, and wanted to have a child, but they wanted to know whether they would have equal rights as parents Aha. could they draw up a contract, saying that they would share? Mm mm. And he said yes you can, but ",c,EMPTY,new,nonfact,other,NP,KBK,"228 conversations recorded by `Chris' (PS05X) between 31 May and 1 June 1991 with 8 interlocutors, totalling 7432 s-units, 53920 words, and over 5 hours 39 minutes 52 seconds of recordings.",56535,69266,57050,10317,7426,1985-1993,spoken_demographic,---,45-59,AB,male,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1622,"  get get the balance right feeding the starving? No never. One apple and one banana, toffee apple if you've got no banana. One of each please Yes. Yes. You want coffee afterwards? Yes please. Two coffees Strange little creature. Well it's always been an awful lot worse than it is now. Why is ",it  ,No ,it ,is ,communication ,"that tells us that it is so awful now. I don't think it's any worse now, it's just that we've written no about it. Well, I don't know if that's true or not. But it's nonsense flying in food to Ethiopia Bangladesh and all the rest of it Isn'",c,EMPTY,act.giv,nonfact,canonical,NP,KBK,"228 conversations recorded by `Chris' (PS05X) between 31 May and 1 June 1991 with 8 interlocutors, totalling 7432 s-units, 53920 words, and over 5 hours 39 minutes 52 seconds of recordings.",56535,69266,57050,10317,7426,1985-1993,spoken_demographic,---,45-59,AB,male,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1624,"  No, don't matter. I bet Matthew had a  a good go at that blasted job as well. Poor old Matt! Has he applied for the same thing? No! It's only business. So it must be regard this? Yeah. But he  he works hard you know! He really does! It's not fair really. And ",I ,bet ,it ,was ,his ,"hair that  put them off. Did he not have it cut? Yeah. Yeah, but you know how peculiar a lot of people are! Urgh! There is spaghetti in there! You're not saying very much. No, I'm not am I? Sorry! I'll start speaking in a minute. it's tidy  shouldn't be that . ",c,EMPTY,part.giv,nonfact,IP,NP,KBL,"40 conversations recorded by `Cherrilyn' (PS06A) between 21 and 26 February 1992 with 9 interlocutors, totalling 5508 s-units, 27294 words (duration not recorded).",29417,36171,29607,5874,5508,1985-1993,spoken_demographic,---,35-44,C1,female,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1655,"  It was so cold but it was cold when we got in and even colder when we got out , so if we all go down with pneumonia that will   I think if it's a bit like that again we should probably, you know, we wouldn't take them in  Say no, yeah  and we got ","changed, ",but ,it ,wasn',t ,"until I got in that you realized that you realized that it was so cold  Mummy  I bet they forgot to put the heating on something earlier or, service that and not got I don't know whether they gone and complained about it  the worse was   well that was, you know I mean they were ",c,EMPTY,act.giv,fact,canonical,clause,KBW,"62 conversations recorded by `Dorothy' (PS087) between 13 and 20 March 1992 with 25 interlocutors, totalling 19706 s-units, 115332 words, and over 13 hours 0 minutes 42 seconds of recordings.",123016,147399,123756,20456,19716,1985-1993,spoken_demographic,---,25-34,AB,female,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1662,"  you've paid a deposit and then you've changed your mind Yes you lose your deposit Yes but this time it was a genuine tragedy so he paid me all deposit I put in, he paid me all back, you know, I don I didn't want I don't want to go caravanning by ",myself ,Mm ,it ,was ,he ,"that choose it, it was he that wanted it and you see it's just worked out that he didn't use it. And there's, you know, there's no motorways near Rudyard, there's no  well there's a main road, there's only a couple really and the, the air is a lot ",c,EMPTY,part.giv,fact,canonical,NP,KBX,"11 conversations recorded by `Donald2' (PS1DW) between 17 and 10 January 1992 with 6 interlocutors, totalling 1967 s-units, 28273 words (duration not recorded).",29672,33043,29924,3086,1967,1985-1993,spoken_demographic,---,45-59,C2,male,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1663,"  then you've changed your mind Yes you lose your deposit Yes but this time it was a genuine tragedy so he paid me all deposit I put in, he paid me all back, you know, I don I didn't want I don't want to go caravanning by myself Mm it was he that ",choose ,"it, ",it ,was ,he ,"that wanted it and you see it's just worked out that he didn't use it. And there's, you know, there's no motorways near Rudyard, there's no  well there's a main road, there's only a couple really and the, the air is a lot better because there's lots of ",c,EMPTY,part.giv,fact,canonical,NP,KBX,"11 conversations recorded by `Donald2' (PS1DW) between 17 and 10 January 1992 with 6 interlocutors, totalling 1967 s-units, 28273 words (duration not recorded).",29672,33043,29924,3086,1967,1985-1993,spoken_demographic,---,45-59,C2,male,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1667,"  have to leave about half past six in the morning Mm, mm that's where, I went with our two you know and Yvonne, erm and Yvonne's daughters the last time I went and this is how I and Yvonne come to know each  Oh is that how it was? at a meeting Oh I ",see ,so ,it ,was ,you ,"that got them together  oh It's, it's a beautiful run you know Oh yes it's a lovely run I know, I know that kind, I know that road do you know where we went me and my husband always, Porthmadog Oh yes    yes I've been there lots of times. he used to ",c,EMPTY,act.giv,fact,canonical,NP,KBX,"11 conversations recorded by `Donald2' (PS1DW) between 17 and 10 January 1992 with 6 interlocutors, totalling 1967 s-units, 28273 words (duration not recorded).",29672,33043,29924,3086,1967,1985-1993,spoken_demographic,---,45-59,C2,male,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1674," 's their trouble! The only thing is, at least the civil war is finished so er,wo once they get their distribution problem sorted out they reckon, sort of  Erm, we're doing all about this in er E D S the other day  and apparently  from the pictures on the T V at the time ",everyone ,thought ,it ,was ,whole ,"of Ethiopia that was starving, and it was only actually twenty five percent of the population. Because some of the areas are quite prosperous and they've got good farmland. They reckon  have got the cows on there. No, that's the rain forest. And erm  she bought in all these pictures of erm  like, Ethiopia  ",c,EMPTY,act.giv,fact,canonical,NP,KBY,"11 conversations recorded by `Elizabeth' (PS08X) between 11 and 17 January 1992 with 5 interlocutors, totalling 1038 s-units, 6316 words (duration not recorded).",6724,8204,6772,1267,1038,1985-1993,spoken_demographic,---,15-24,C1,female,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1689," . We went to see that, Oh. That's what backs onto it. Oh. well, at least they won't be looking int' bungalow will they, with it all being down, No. and that. Yeah, that's straight behind it. Oh. Not like them, I mean, they can see straight into our  I'm not sure, but ",I ,think ,it ,was ,Mr  ,"that had that bungalow built. You know Mr  Yeah. Somebody told me that he had that built. Oh. Years ago before he had that 'ouse built on  Road. Oh. What you doing with the  a cup of tea. Sasha. She's there. She's there. Come 'ere. Georgie babes. Them  can be  about, I mean, that'",c,(The name of the Mr was deleted for privacy reasons.),act.giv,un,canonical,NP,KB1,"17 conversations recorded by `Albert' (PS01A) between 1 and 6 February 1992 with 9 interlocutors, totalling 5856 s-units, 39285 words, and over 3 hours 6 minutes 40 seconds of recordings.",42183,51415,42448,8120,5859,1985-1993,spoken_demographic,---,45-59,DE,male,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1690,"   one of Billy  's daughter-in-laws, she, she does it part-time. What, medical secretary? Yeah. She's er Good money at part-time! I know. That's what erm  that's  which one of them, who were it telling me? Er  I don't know whether it  were the young lad that comes in, ",or ,whether ,it ,was ,Jes ,"that were telling me. Mhm. I can't imagine it being Jes. I think it were Jes what were telling you . Well it might have been Jes  cos  I don't know tha well they've got, I think they've got two children. And she were doing it full-time and then she went  she ",c,EMPTY,act.giv,un,canonical,NP,KB1,"17 conversations recorded by `Albert' (PS01A) between 1 and 6 February 1992 with 9 interlocutors, totalling 5856 s-units, 39285 words, and over 3 hours 6 minutes 40 seconds of recordings.",42183,51415,42448,8120,5859,1985-1993,spoken_demographic,---,45-59,DE,male,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1701," . Woodwork and exactly. and even the brickwork. No. damp and  If you get me back to mum's for about three o'clock time at the latest to take her to Osborne House. Well that's what she's that's what she's  she's, she just sort of she didn't mean it but ",No ,it  ,it ,was ,her ,"thought that we were Yeah cos I mean you'd probably run her back, rather than her biking. As I say I mean we, if we could make an appointment say three fifteen or three thirty to see Sefton Avenue. Cos we'd be up there anyway. Yeah. Wouldn't we? Before it gets dark and ",c,EMPTY,un,un,unclear,NP,KB7,"60 conversations recorded by `Ann' (PS02G) between 28 November and 5 December 1991 with 35 interlocutors, totalling 16243 s-units, 103997 words, and over 13 hours 5 minutes 36 seconds of recordings.",111466,133373,112328,17194,16249,1985-1993,spoken_demographic,---,45-59,DE,female,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
1731,"   get yourself away! If you can, if you can get yourself a ticket. Mm. Er he probably thinks he could get one through  but he says no, I've been once. But the second time, they tell me, isn't as good as the first time when you go.   She says, well it's your team! ",Yes! ,cos ,it ,wasn',t ,"Sunderland that he went to see when he got the ticket the last time. I can't remember who he said it was  but erm   I've always fancied going   So you get yourself down there, then. Sunderland were there. Oh. I wouldn't have been bothered about any other  cos you see it better on ",c,EMPTY,act.giv,fact,canonical,NP,KB8,"34 conversations recorded by `Ann2' (PS14B) on 3 April 1992 with 37 interlocutors, totalling 12018 s-units, 78798 words, and over 8 hours 19 minutes 57 seconds of recordings.",84062,98429,84538,13011,12016,1985-1993,spoken_demographic,---,45-59,AB,female,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,cleared,spoken,spoken_conversation,S:conv,,,
